review_text,source,date,bert_label,bert_score
"Can't knock FreshBasket UK today, it remembered my favourites properly, which made the whole thing much quicker. That's how online grocery should work.",social,2026-04-27,positive,0.9917
"Happy days with FreshBasket UK, used a voucher plus the offers and the whole basket came in cheaper than usual. Saved me a proper job.",social,2026-04-27,positive,0.9973
"Tried FreshBasket UK again today, it turned up roughly when promised and that did the job. It did the job.",social,2026-04-27,positive,0.9861
"Genuinely impressed with FreshBasket UK tonight, it remembered my favourites properly, which made the whole thing much quicker. Genuinely chuffed with that.",social,2026-04-27,positive,0.9965
"Really rate FreshBasket UK after this order, my berries turned up firm, not mushy, which made a nice change. Properly pleased with that.",social,2026-04-27,positive,0.9995
"Well chuffed with FreshBasket UK today, the bags weren't overstuffed and the fruit survived the trip just fine. Top effort all round.",social,2026-04-27,positive,0.9992
"Genuinely impressed with FreshBasket UK tonight, the van was early, the updates were clear, and the whole thing felt sorted. Miles better than trekking to the shop.",social,2026-04-27,positive,0.9979
"FreshBasket UK has my weekly shop sorted, support actually read my message and replaced the damaged juice by lunchtime. Can't ask for more really.",social,2026-04-27,negative,0.9963
"FreshBasket UK needs to sort itself out, the freezer bits were buried under cleaning stuff, which is just silly. Not good enough really.",social,2026-04-27,negative,0.9998
"Bit gutted with FreshBasket UK, the service fee keeps creeping up for a pretty average shop. Not using that excuse anymore.",social,2026-04-27,negative,0.999
"Can't knock FreshBasket UK today, the live chat fixed a refund without any faff and was genuinely polite. Exactly what I needed after work.",social,2026-04-27,positive,0.9953
"FreshBasket UK came through again, the multibuy deal on pasta, sauce, and veg was decent value. Made the whole week easier.",social,2026-04-27,positive,0.9978
"FreshBasket UK came through again, the van was early, the updates were clear, and the whole thing felt sorted. Exactly what I needed after work.",social,2026-04-27,positive,0.9939
"Pretty fed up with FreshBasket UK now, they acted like bruised fruit was somehow my problem. Wish I'd gone elsewhere.",social,2026-04-27,negative,0.9995
"FreshBasket UK turned up within the slot, the salad was alright and the bananas were about what I expected. Useful enough, I suppose.",social,2026-04-27,positive,0.9898
"FreshBasket UK absolutely nailed it today, the website was dead easy tonight and checkout took about thirty seconds. Small thing, big difference.",social,2026-04-27,negative,0.911
"Happy days with FreshBasket UK, used a voucher plus the offers and the whole basket came in cheaper than usual. Small thing, big difference.",social,2026-04-27,positive,0.7439
"Can't knock FreshBasket UK today, even the budget fruit tasted decent and the bananas were actually yellow. Small thing, big difference.",social,2026-04-27,negative,0.9779
"FreshBasket UK came through again, their fruit and veg promo was better than I expected this time. Nice when something just works.",social,2026-04-27,positive,0.9981
"FreshBasket UK order arrived this afternoon, search was okay, not brilliant, not awful. Nothing to rave about really.",social,2026-04-27,negative,0.985
"FreshBasket UK let me down again, the app logged me out three times while I was ordering. Not using that excuse anymore.",social,2026-04-27,negative,0.9985
"FreshBasket UK order arrived this afternoon, quality seemed normal compared with last week. Pretty standard shop overall.",social,2026-04-27,positive,0.5928
"FreshBasket UK came through again, the checkout page didn't crash once and that felt like progress. Top effort all round.",social,2026-04-27,positive,0.9938
"Used FreshBasket UK after work today, quality seemed normal compared with last week. Nothing to rave about really.",social,2026-04-27,negative,0.839
"Can't knock FreshBasket UK today, the live chat fixed a refund without any faff and was genuinely polite. That'll do me nicely.",social,2026-04-27,positive,0.9977
"FreshBasket UK did what it said today, the driver was polite and left quickly. Just part of the weekly admin.",social,2026-04-27,negative,0.9994
"Not gonna lie, FreshBasket UK was brilliant today, it remembered my favourites properly, which made the whole thing much quicker. Nice when something just works.",social,2026-04-27,positive,0.9997
"Honestly, FreshBasket UK annoyed me today, they chucked tins on top of the bread and flattened the lot. That's me properly annoyed.",social,2026-04-27,negative,0.9994
"Proper result from FreshBasket UK, the strawberries were properly sweet and the spinach actually lasted all week. Will happily order again.",social,2026-04-27,positive,0.9994
"FreshBasket UK did what it said today, browsing the offers page was simple enough this evening. Nothing wild to report.",social,2026-04-27,negative,0.9913
"FreshBasket UK smashed it again, I shaved a good few quid off the total with the bundle deals. Made the whole week easier.",social,2026-04-27,negative,0.9978
"FreshBasket UK was naff today, even logging in felt like hard work tonight. What a faff.",social,2026-04-27,negative,0.9986
"FreshBasket UK seems about the same this week, the bread survived and the eggs were whole, which will do. Pretty standard shop overall.",social,2026-04-27,positive,0.9323
"Bit gutted with FreshBasket UK, my order never turned up in the booked window and support just shrugged. Ruined the plan for dinner.",social,2026-04-27,negative,0.9995
"FreshBasket UK has my weekly shop sorted, managed to get dinner bits for less than the corner shop charges. Nice when something just works.",social,2026-04-27,positive,0.5811
"Did the basics on FreshBasket UK tonight, quality seemed normal compared with last week. Just part of the weekly admin.",social,2026-04-27,negative,0.8363
"FreshBasket UK was a bit dodgy today, I couldn't change my slot because the page kept looping. Wish I'd gone elsewhere.",social,2026-04-27,negative,0.9991
"FreshBasket UK was on point this morning, my berries turned up firm, not mushy, which made a nice change. Exactly what I needed after work.",social,2026-04-27,positive,0.9833
"FreshBasket UK was fairly standard today, the app worked alright once I found the right aisle. No big drama either way.",social,2026-04-27,negative,0.5978
"Fair play to FreshBasket UK, no squashed tomatoes, no split milk, job done. Will happily order again.",social,2026-04-27,positive,0.9985
"Fair play to FreshBasket UK, the multibuy deal on pasta, sauce, and veg was decent value. Miles better than trekking to the shop.",social,2026-04-27,positive,0.999
"FreshBasket UK was all over the place today, the basket total jumped loads compared with last month for the same staples. Absolute rubbish.",social,2026-04-27,negative,0.9997
"FreshBasket UK was pretty ordinary this time, no issues to raise, so I didn't really test their support. No big drama either way.",social,2026-04-27,negative,0.9978
"FreshBasket UK has gone downhill lately, packaging was a mess, eggs cracked and juice leaking everywhere. Not good enough really.",social,2026-04-27,negative,0.9998
"FreshBasket UK came through again, they finally nailed the packing and the whole order arrived intact. Top effort all round.",social,2026-04-27,positive,0.9995
"Another solid shop from FreshBasket UK, the agent on chat fixed my account issue faster than I expected. Genuinely chuffed with that.",social,2026-04-27,negative,0.9344
"FreshBasket UK was a bit dodgy today, I couldn't change my slot because the page kept looping. Shouldn't be this hard.",social,2026-04-27,negative,0.9948
"Fair play to FreshBasket UK, same-day delivery actually showed up when promised, which felt like a miracle. Tea is sorted tonight.",social,2026-04-27,positive,0.9981
"FreshBasket UK was pretty ordinary this time, the website loaded fine on my phone for once. No big drama either way.",social,2026-04-27,negative,0.9975
"FreshBasket UK was all over the place today, the apples were bruised all over and the lettuce had gone slimy. That's me properly annoyed.",social,2026-04-27,negative,0.9994
"FreshBasket UK absolutely nailed it today, filtering by dietary bits actually worked, so I found the gluten-free stuff quickly. That'll do me nicely.",social,2026-04-27,positive,0.9964
"Can't knock FreshBasket UK today, they turned up right at the start of the window and handed everything over quickly. Properly pleased with that.",social,2026-04-27,positive,0.9997
"FreshBasket UK turned up within the slot, delivery came in the middle of the slot and the handover was quick. We'll see how next week goes.",social,2026-04-27,positive,0.9882
"FreshBasket UK has my weekly shop sorted, they apologised properly for the missing bread and refunded it there and then. Miles better than trekking to the shop.",social,2026-04-27,negative,0.8819
"Really rate FreshBasket UK after this order, adding meal bits to the basket was simple and the offers showed up clearly. That'll do me nicely.",social,2026-04-27,positive,0.9996
"Bit gutted with FreshBasket UK, one flimsy bag had all the heavy bottles in it and it nearly tore my hand off. That needs sorting.",social,2026-04-27,negative,0.9989
"FreshBasket UK really dropped the ball today, it took three messages just to get a straight answer about a refund. Not using that excuse anymore.",social,2026-04-27,negative,0.9995
"FreshBasket UK smashed it again, the family staples were on offer and that made a proper difference. Can't ask for more really.",social,2026-04-27,negative,0.9849
"Happy days with FreshBasket UK, the live chat fixed a refund without any faff and was genuinely polite. Saved me a proper job.",social,2026-04-27,positive,0.9985
"FreshBasket UK came through again, they separated chilled and cupboard bits sensibly so nothing got squashed. That'll do me nicely.",social,2026-04-27,positive,0.9989
"Really rate FreshBasket UK after this order, the driver rang properly, waited a sec, and brought the heavy bags to the door. No complaints from me.",social,2026-04-27,negative,0.8969
"Placed a quick order on FreshBasket UK, nothing looked especially good or bad in today's basket. Seems okay so far.",social,2026-04-27,negative,0.7142
"Used FreshBasket UK for a top-up order, boxes were fine, if a bit bulky for a small order. No big drama either way.",social,2026-04-27,positive,0.9275
"Really rate FreshBasket UK after this order, everything was stacked neatly and unpacking took about two minutes. That'll do me nicely.",social,2026-04-27,positive,0.9836
"Really rate FreshBasket UK after this order, the phone site finally stopped lagging and I was done in minutes. Properly pleased with that.",social,2026-04-27,positive,0.9935
"Another FreshBasket UK delivery landed, the basket came out around what I expected to pay. We'll see how next week goes.",social,2026-04-27,negative,0.6404
"FreshBasket UK made the weekly shop harder, the offers page kept glitching and showing the wrong prices. Bit of a joke.",social,2026-04-27,negative,0.9994
"FreshBasket UK did the business today, the multibuy deal on pasta, sauce, and veg was decent value. Small thing, big difference.",social,2026-04-27,positive,0.999
"Well chuffed with FreshBasket UK today, the bags weren't overstuffed and the fruit survived the trip just fine. Made the whole week easier.",social,2026-04-27,positive,0.9981
"Genuinely impressed with FreshBasket UK tonight, the live chat fixed a refund without any faff and was genuinely polite. Nice when something just works.",social,2026-04-27,positive,0.9984
"Genuinely impressed with FreshBasket UK tonight, meal planning came in under budget thanks to the midweek offers. Miles better than trekking to the shop.",social,2026-04-27,positive,0.9945
"Not impressed with FreshBasket UK this week, search results were useless and basic items were weirdly hard to find. Such a pain.",social,2026-04-27,negative,0.9998
"FreshBasket UK was all over the place today, I added a few basics and somehow the total looked daft. Not using that excuse anymore.",social,2026-04-27,negative,0.9983
"FreshBasket UK has my weekly shop sorted, filtering by dietary bits actually worked, so I found the gluten-free stuff quickly. Exactly what I needed after work.",social,2026-04-27,negative,0.9942
"FreshBasket UK was naff today, those so-called offers were barely a discount. Not good enough really.",social,2026-04-27,negative,0.9997
"Really rate FreshBasket UK after this order, the own-brand stuff is surprisingly cheap and actually pretty nice. Saved me a proper job.",social,2026-04-27,positive,0.9986
"Proper result from FreshBasket UK, same-day delivery actually showed up when promised, which felt like a miracle. Exactly what I needed after work.",social,2026-04-27,positive,0.9995
"FreshBasket UK was on point this morning, filtering by dietary bits actually worked, so I found the gluten-free stuff quickly. Nice when something just works.",social,2026-04-27,positive,0.8153
"Can't knock FreshBasket UK today, even the bread stayed in one piece because the heavier bits were packed well. Saved me a proper job.",social,2026-04-27,positive,0.9989
"Genuinely impressed with FreshBasket UK tonight, they squeezed in a late order for tonight and still arrived dead on time. Top effort all round.",social,2026-04-27,positive,0.9995
"FreshBasket UK order arrived this afternoon, the veg was decent enough for a midweek top-up. Fine, not life changing.",social,2026-04-27,positive,0.9517
"FreshBasket UK did the business today, my groceries were on the doorstep before I finished work and that saved me a job. That'll do me nicely.",social,2026-04-27,positive,0.9996
"FreshBasket UK was fairly standard today, it turned up roughly when promised and that did the job. We'll see how next week goes.",social,2026-04-27,positive,0.9946
"Not gonna lie, FreshBasket UK was brilliant today, same-day delivery actually showed up when promised, which felt like a miracle. Exactly what I needed after work.",social,2026-04-27,positive,0.9997
"Not gonna lie, FreshBasket UK was brilliant today, the website was dead easy tonight and checkout took about thirty seconds. Miles better than trekking to the shop.",social,2026-04-27,negative,0.9679
"FreshBasket UK was on point this morning, the live chat fixed a refund without any faff and was genuinely polite. Exactly what I needed after work.",social,2026-04-27,positive,0.9922
"Fair play to FreshBasket UK, the order arrived before dinner so I didn't need a panic dash to the shop. No complaints from me.",social,2026-04-27,negative,0.6239
"Another FreshBasket UK delivery landed, basket edits took a minute but it all went through. Nothing wild to report.",social,2026-04-27,negative,0.9988
"FreshBasket UK was on point this morning, customer service sorted my missing yoghurt in about five minutes and credited it straight away. That's how online grocery should work.",social,2026-04-27,negative,0.9982
"Not impressed with FreshBasket UK this week, the agent ended the chat before the issue was even sorted. Not good enough really.",social,2026-04-27,negative,0.9998
"FreshBasket UK was naff today, my berries were mush before I even unpacked the lot. Absolute rubbish.",social,2026-04-27,negative,0.9998
"Pretty fed up with FreshBasket UK now, I booked an early slot and FreshBasket UK rolled up when lunch was basically over. Shouldn't be this hard.",social,2026-04-27,negative,0.9922
"Genuinely impressed with FreshBasket UK tonight, the van was early, the updates were clear, and the whole thing felt sorted. Top effort all round.",social,2026-04-27,positive,0.9995
"FreshBasket UK let me down again, the strawberries were mouldy and the cucumbers looked tired. Really not the one.",social,2026-04-27,negative,0.9996
"FreshBasket UK absolutely nailed it today, the order arrived before dinner so I didn't need a panic dash to the shop. Genuinely chuffed with that.",social,2026-04-27,negative,0.9163
"FreshBasket UK was on point this morning, the app made a boring top-up shop weirdly easy after work. Will happily order again.",social,2026-04-27,positive,0.8225
"FreshBasket UK smashed it again, prices felt fair today, especially on milk, bread, and eggs. No complaints from me.",social,2026-04-27,positive,0.8774
"Genuinely impressed with FreshBasket UK tonight, adding meal bits to the basket was simple and the offers showed up clearly. Will happily order again.",social,2026-04-27,positive,0.9998
"FreshBasket UK let me down again, the tracking updates were useless and the order just kept moving later. Absolute rubbish.",social,2026-04-27,negative,0.9998
"Did the basics on FreshBasket UK tonight, the website loaded fine on my phone for once. No strong feelings on it.",social,2026-04-27,negative,0.9997
"FreshBasket UK has gone downhill lately, my avocados were bruised and the salad was already soggy. Bit of a joke.",social,2026-04-27,negative,0.9997
"Genuinely impressed with FreshBasket UK tonight, the website was dead easy tonight and checkout took about thirty seconds. Exactly what I needed after work.",social,2026-04-27,negative,0.9012
"FreshBasket UK seems about the same this week, the bread survived and the eggs were whole, which will do. Nothing wild to report.",social,2026-04-27,negative,0.9924
"FreshBasket UK smashed it again, the evening slot started bang on time and everything was still cold. Can't ask for more really.",social,2026-04-27,negative,0.9996
"FreshBasket UK let me down again, the agent ended the chat before the issue was even sorted. Such a pain.",social,2026-04-27,negative,0.9996
"FreshBasket UK really dropped the ball today, they acted like bruised fruit was somehow my problem. That needs sorting.",social,2026-04-27,negative,0.9993
"FreshBasket UK has my weekly shop sorted, the eggs were spot on and the milk had a proper shelf life on it. Saved me a proper job.",social,2026-04-27,positive,0.9909
"Honestly, FreshBasket UK annoyed me today, they acted like bruised fruit was somehow my problem. That's me properly annoyed.",social,2026-04-27,negative,0.9991
"Not gonna lie, FreshBasket UK was brilliant today, the reusable bags were packed sensibly and easy to carry upstairs. Saved me a proper job.",social,2026-04-27,positive,0.9996
"FreshBasket UK seems about the same this week, got the order inside the booked window, which was all I needed. Fine, not life changing.",social,2026-04-27,negative,0.9976
"Not gonna lie, FreshBasket UK was brilliant today, even the budget fruit tasted decent and the bananas were actually yellow. Tea is sorted tonight.",social,2026-04-27,positive,0.9986
"Not impressed with FreshBasket UK this week, used to save me a few quid here, now it feels cheeky. What a faff.",social,2026-04-27,negative,0.9783
"Pretty fed up with FreshBasket UK now, packaging was a mess, eggs cracked and juice leaking everywhere. Ruined the plan for dinner.",social,2026-04-27,negative,0.9998
"Fair play to FreshBasket UK, the driver rang properly, waited a sec, and brought the heavy bags to the door. Made the whole week easier.",social,2026-04-27,positive,0.8851
"Another solid shop from FreshBasket UK, the reusable bags were packed sensibly and easy to carry upstairs. Tea is sorted tonight.",social,2026-04-27,positive,0.9991
"Can't knock FreshBasket UK today, the live chat fixed a refund without any faff and was genuinely polite. Will happily order again.",social,2026-04-27,positive,0.9975
"Really rate FreshBasket UK after this order, they owned the substitution mix-up and put the money back instantly. Can't ask for more really.",social,2026-04-27,negative,0.9925
"Can't knock FreshBasket UK today, the phone site finally stopped lagging and I was done in minutes. Will happily order again.",social,2026-04-27,positive,0.7774
"FreshBasket UK did the business today, they apologised properly for the missing bread and refunded it there and then. Top effort all round.",social,2026-04-27,negative,0.6232
"Genuinely impressed with FreshBasket UK tonight, barely any pointless plastic and the glass jars were packed securely. Can't ask for more really.",social,2026-04-27,positive,0.9899
"Can't knock FreshBasket UK today, the app made a boring top-up shop weirdly easy after work. Will happily order again.",social,2026-04-27,positive,0.9794
"FreshBasket UK absolutely nailed it today, the salmon looked fresh and the salad leaves weren't slimy by day two. Can't ask for more really.",social,2026-04-27,positive,0.995
"Happy days with FreshBasket UK, the checkout page didn't crash once and that felt like progress. Tea is sorted tonight.",social,2026-04-27,positive,0.9917
"FreshBasket UK smashed it again, my weekend slot landed exactly when booked and nothing was warm. Properly pleased with that.",social,2026-04-27,negative,0.8108
"Genuinely impressed with FreshBasket UK tonight, meal planning came in under budget thanks to the midweek offers. Nice when something just works.",social,2026-04-27,positive,0.998
"Really rate FreshBasket UK after this order, they finally nailed the packing and the whole order arrived intact. Can't ask for more really.",social,2026-04-27,positive,0.9952
"Fair play to FreshBasket UK, the family staples were on offer and that made a proper difference. Genuinely chuffed with that.",social,2026-04-27,positive,0.9267
"FreshBasket UK absolutely nailed it today, the evening slot started bang on time and everything was still cold. Genuinely chuffed with that.",social,2026-04-27,negative,0.9937
"FreshBasket UK came through again, today's avocados were ripe at the right time instead of being rock hard. Tea is sorted tonight.",social,2026-04-27,positive,0.9885
"Fair play to FreshBasket UK, prices felt fair today, especially on milk, bread, and eggs. Made the whole week easier.",social,2026-04-27,positive,0.9886
"FreshBasket UK let me down again, even the basics looked tired, which is not what you want midweek. Took ages to put right.",social,2026-04-27,negative,0.9996
"Used FreshBasket UK after work today, no issues to raise, so I didn't really test their support. Fine, not life changing.",social,2026-04-27,negative,0.9944
"FreshBasket UK made the weekly shop harder, my berries were mush before I even unpacked the lot. Really not the one.",social,2026-04-27,negative,0.9997
"FreshBasket UK came through again, filtering by dietary bits actually worked, so I found the gluten-free stuff quickly. Genuinely chuffed with that.",social,2026-04-27,negative,0.999
"Well chuffed with FreshBasket UK today, barely any pointless plastic and the glass jars were packed securely. Exactly what I needed after work.",social,2026-04-27,negative,0.9959
"Another solid shop from FreshBasket UK, they handled a dodgy discount code in one go and didn't make it awkward. Made the whole week easier.",social,2026-04-27,positive,0.9977
"FreshBasket UK has my weekly shop sorted, the website was dead easy tonight and checkout took about thirty seconds. Will happily order again.",social,2026-04-27,positive,0.9937
"Another solid shop from FreshBasket UK, today's avocados were ripe at the right time instead of being rock hard. That'll do me nicely.",social,2026-04-27,positive,0.9996
"FreshBasket UK absolutely nailed it today, prices felt fair today, especially on milk, bread, and eggs. No complaints from me.",social,2026-04-27,positive,0.9975
"Not impressed with FreshBasket UK this week, they cancelled my delivery last minute after I'd planned meals around it. Shouldn't be this hard.",social,2026-04-27,negative,0.9996
"FreshBasket UK has my weekly shop sorted, meal planning came in under budget thanks to the midweek offers. Properly pleased with that.",social,2026-04-27,positive,0.9992
"FreshBasket UK absolutely nailed it today, support was helpful, quick, and didn't make me chase anything twice. Made the whole week easier.",social,2026-04-27,positive,0.9922
"Bit gutted with FreshBasket UK, the basket total jumped loads compared with last month for the same staples. Really not the one.",social,2026-04-27,negative,0.9976
"FreshBasket UK absolutely nailed it today, the phone site finally stopped lagging and I was done in minutes. Exactly what I needed after work.",social,2026-04-27,negative,0.9343
"Pretty fed up with FreshBasket UK now, the driver showed up ages late and left half the bags in the van. Such a pain.",social,2026-04-27,negative,0.9996
"Can't knock FreshBasket UK today, the evening slot started bang on time and everything was still cold. Top effort all round.",social,2026-04-27,negative,0.9992
"Not gonna lie, FreshBasket UK was brilliant today, the website was dead easy tonight and checkout took about thirty seconds. That's how online grocery should work.",social,2026-04-27,negative,0.9939
"FreshBasket UK absolutely nailed it today, they finally nailed the packing and the whole order arrived intact. Will happily order again.",social,2026-04-27,positive,0.9997
"Can't knock FreshBasket UK today, they separated chilled and cupboard bits sensibly so nothing got squashed. Top effort all round.",social,2026-04-27,positive,0.9837
"FreshBasket UK was all over the place today, I booked an early slot and FreshBasket UK rolled up when lunch was basically over. Shouldn't be this hard.",social,2026-04-27,negative,0.9942
"FreshBasket UK was all over the place today, even the own-brand bits aren't cheap anymore. Bit of a joke.",social,2026-04-27,negative,0.9945
"FreshBasket UK did the business today, they owned the substitution mix-up and put the money back instantly. Can't ask for more really.",social,2026-04-27,negative,0.9925
"FreshBasket UK has my weekly shop sorted, no squashed tomatoes, no split milk, job done. Saved me a proper job.",social,2026-04-27,positive,0.9831
"FreshBasket UK order arrived this afternoon, basics were fresh enough, though nothing stood out. That'll do for now.",social,2026-04-27,negative,0.9054
"FreshBasket UK has gone downhill lately, the tomatoes were bashed, the herbs were limp, and the bread felt stale. What a faff.",social,2026-04-27,negative,0.9998
"FreshBasket UK really dropped the ball today, the app logged me out three times while I was ordering. That needs sorting.",social,2026-04-27,negative,0.9983
"Happy days with FreshBasket UK, they squeezed in a late order for tonight and still arrived dead on time. Saved me a proper job.",social,2026-04-27,positive,0.9996
"Well chuffed with FreshBasket UK today, customer service sorted my missing yoghurt in about five minutes and credited it straight away. Will happily order again.",social,2026-04-27,negative,0.9084
"Can't knock FreshBasket UK today, my groceries were on the doorstep before I finished work and that saved me a job. That'll do me nicely.",social,2026-04-27,positive,0.9994
"Another solid shop from FreshBasket UK, even the budget fruit tasted decent and the bananas were actually yellow. Tea is sorted tonight.",social,2026-04-27,positive,0.9951
"Another solid shop from FreshBasket UK, the app made a boring top-up shop weirdly easy after work. Nice when something just works.",social,2026-04-27,positive,0.9811
"Really rate FreshBasket UK after this order, the agent on chat fixed my account issue faster than I expected. Genuinely chuffed with that.",social,2026-04-27,negative,0.9981
"Can't knock FreshBasket UK today, the eggs were spot on and the milk had a proper shelf life on it. Miles better than trekking to the shop.",social,2026-04-27,positive,0.5048
"FreshBasket UK needs to sort itself out, they chucked tins on top of the bread and flattened the lot. Ruined the plan for dinner.",social,2026-04-27,negative,0.9998
"Can't knock FreshBasket UK today, even the bread stayed in one piece because the heavier bits were packed well. Top effort all round.",social,2026-04-27,positive,0.9985
"FreshBasket UK was a faff from start to finish, my order never turned up in the booked window and support just shrugged. Properly annoying.",social,2026-04-27,negative,0.9968
